andorinha,3,0,0,0,4,1,2,1
andou,6,4,1,0,5,3,2,6
anel,5,1,0,3,2,4,1,7
ang,2,1,1,1,0,1,1,5
angu,1,0,0,3,1,0,5,2
anil,1,0,0,1,2,2,3,1
anima,5,1,0,1,5,2,6,2
animada,3,0,0,7,6,4,3,3
animado,15,2,0,12,16,18,8,17
animais,2,0,0,0,4,6,1,5
animal,5,3,0,3,8,6,1,11
animando,2,0,0,1,4,1,1,6
animar,7,1,0,8,4,1,5,5
animação,7,3,0,13,18,9,13,13
aniversário,3,2,0,3,1,0,0,2
anjo,62,18,1,1,6,17,8,36
anjos,5,4,0,4,2,4,2,4
ano,26,13,0,48,38,34,25,26
anoitecer,9,1,0,0,1,1,0,5
anos,32,15,1,29,11,17,16,37
ansiedade,2,1,0,0,2,1,3,5
ansioso,3,1,0,0,1,2,0,3
ant,7,1,0,1,5,8,6,16
antiga,10,1,0,0,2,3,4,5
antigamente,8,0,0,4,3,4,5,7
antigo,3,1,0,0,4,4,1,4
antonio,2,1,0,11,8,7,2,4
anunciando,2,0,1,2,1,2,2,1
anuncio,3,0,0,0,3,1,2,1
anzol,3,2,1,4,2,2,4,5
aonde,59,23,3,16,20,38,24,50
apaga,17,7,2,1,9,2,7,7
apagando,3,2,0,2,0,2,0,1
apagar,28,12,2,2,5,11,7,26
apagou,19,7,0,6,1,4,1,16
apague,7,4,0,0,3,1,2,6
apaixona,17,2,0,0,0,2,4,2
apaixonada,35,15,2,1,3,3,7,44
apaixonado,124,47,2,4,10,19,20,85
apaixonados,9,4,0,1,0,2,1,10
apaixonando,4,2,0,0,2,1,0,3
apaixonar,64,25,1,0,3,8,7,40
apaixonei,40,9,2,0,3,9,11,41
apaixono,5,1,0,0,0,1,1,3
apaixonou,18,7,2,1,2,6,1,8
apanha,3,1,0,7,7,3,8,3
apanhar,6,1,0,4,2,1,2,7
apanhei,3,0,0,0,1,2,0,4
aparece,16,6,0,4,6,4,9,9
aparecer,12,5,0,1,1,4,4,5
apareceu,24,4,0,6,6,10,13,25
apareça,5,0,0,1,1,2,3,4
apartamento,9,3,0,2,1,2,2,4
apartação,2,0,0,0,2,2,0,4
apavorado,0,0,0,5,2,0,1,2
apego,3,2,0,1,1,1,3,1
apelido,4,0,0,2,1,2,1,1
apelo,4,0,0,0,0,2,2,1
aperreado,5,1,0,4,2,5,1,0
aperta,21,10,3,4,8,9,7,21
apertado,6,1,0,3,3,3,7,7
apertando,4,1,0,1,2,3,4,6
apertar,11,7,0,3,1,2,6,10
aperte,6,3,0,2,2,1,2,1
aperto,12,3,0,2,8,6,5,10
apesar,13,3,1,4,4,5,3,11
apito,4,0,0,0,4,3,4,6
apostar,5,6,0,0,1,1,0,4
aprenda,9,0,0,1,1,0,1,2
aprende,9,2,0,3,2,1,2,5
aprendendo,3,2,0,1,0,2,1,5
aprender,30,15,0,12,11,10,10,23
aprendeu,9,5,0,1,2,4,6,6
aprendi,28,5,1,6,6,10,9,32
apresentar,1,1,0,4,4,5,1,2
apressado,1,2,0,0,1,2,0,5
apronta,4,7,0,0,1,0,5,7
aproveita,3,1,0,4,4,1,2,1
aproveitar,15,4,0,10,8,8,4,6
aproxima,6,0,0,0,0,0,2,2
aproximar,9,3,0,1,1,1,0,5
aquarela,2,1,0,0,0,2,2,3
aquece,5,3,0,2,3,5,5,14
aquecer,32,1,0,0,1,3,7,20
aquário,0,1,0,1,0,5,1,2
ar,93,24,0,15,21,32,34,58
arapuca,1,1,0,1,1,2,3,2
arara,1,1,0,12,10,6,3,2
araçá,2,0,0,1,2,2,4,0
arco,8,2,0,1,0,5,8,12
arde,9,1,0,4,3,8,1,8
ardendo,3,1,0,4,5,3,2,8
ardente,13,4,0,1,5,5,6,18
arder,2,2,0,0,1,0,2,3
areia,31,11,1,16,12,12,7,33
arma,0,0,0,5,2,4,2,2
armadilha,3,4,0,0,1,1,1,2
armado,0,0,0,4,4,5,5,2
armas,2,1,0,2,3,1,0,1
aroeira,0,0,0,4,1,1,1,3
arquibancada,1,2,1,0,1,1,3,11
arraia,0,0,0,4,8,1,1,2
arraiá,0,0,0,4,5,0,3,6
arranca,5,3,0,2,1,0,6,9
arrancar,16,6,0,1,1,1,4,17
arranha,5,0,0,1,1,2,4,2
arranja,2,0,0,6,0,2,5,6
arranjar,5,1,0,10,8,7,4,3
arranje,2,0,0,2,4,3,3,2
arranjei,4,0,0,9,5,3,4,10
arranjo,2,1,0,1,2,2,1,0
arranjou,4,2,0,4,3,2,3,3
arranque,4,0,0,1,1,1,1,3
arrasa,6,0,0,4,0,3,2,3
arrasar,3,0,0,1,0,0,4,1
arrasta,21,3,0,5,9,15,8,13
arrastando,13,0,0,5,2,4,2,2
arrastar,5,1,0,2,2,2,0,4
arrebenta,5,3,0,0,1,2,3,4
arrebentar,4,1,0,1,2,1,3,2
arrego,1,1,0,0,0,1,3,4
arrepende,4,2,0,0,0,1,1,2
arrepender,41,17,1,0,1,2,3,23
arrependeu,6,15,0,0,1,0,0,5
arrependi,4,1,0,0,0,0,0,10
arrependida,13,6,2,4,0,2,2,6
arrependido,7,6,1,0,1,3,1,12
arrependo,5,1,1,0,0,0,0,3
arrepia,5,4,0,2,3,1,2,4
arrepiado,4,0,0,6,3,5,1,7
arrepiar,15,0,0,3,4,2,8,7
arrepio,11,0,0,2,0,3,7,5
arretado,5,1,1,0,0,3,2,7
arretirar,2,1,0,2,2,2,0,0
arriado,2,1,0,1,0,3,3,0
arriba,5,1,0,2,0,0,0,1
arriscar,8,3,0,0,0,0,1,6
arrocha,6,4,0,0,0,1,2,8
arrochado,1,0,0,0,0,3,2,3
arrochar,2,1,0,0,0,0,0,8
arrocho,2,0,0,0,2,4,2,4
arroz,3,1,1,9,5,4,7,6
arruaça,2,1,0,2,2,3,0,0
arruma,10,4,1,1,2,3,7,7
arrumada,5,0,0,0,0,2,1,1
arrumado,3,2,0,0,3,2,2,3
arrumando,2,3,0,0,1,2,2,3
arrumar,8,9,0,5,9,12,5,9
arrume,8,1,0,1,0,0,0,3
arrumei,3,2,0,0,3,3,2,6
arrumou,6,0,0,0,1,1,2,3
arte,7,3,0,3,3,7,9,6
artista,6,2,0,3,4,6,4,6
arvoredo,1,0,0,2,1,2,0,4
asa,10,2,0,22,10,11,13,14
asas,37,9,0,8,4,18,13,24
asfalto,3,0,0,3,1,2,2,2
assada,1,0,0,5,1,2,1,3
assado,2,2,0,3,4,4,3,2
assalto,0,1,0,2,1,4,0,1
assanha,7,4,0,1,2,3,2,8
assanhada,4,1,0,1,3,2,4,1
assanhado,3,1,0,2,2,2,4,6
asseguro,3,1,0,2,1,3,0,1
assistir,1,4,0,4,3,3,4,3
assombrado,1,0,0,3,2,1,1,2
assombração,2,0,0,1,0,4,2,0
assum,0,0,0,5,3,2,1,2
assume,7,5,1,0,0,1,1,0
assumir,7,4,0,0,0,2,1,3
assumo,5,4,0,0,0,1,3,2
assunto,10,12,0,3,1,1,3,8
assusta,4,0,0,0,3,0,0,3
assustado,2,1,0,1,1,1,0,3
assustar,2,0,0,2,1,0,1,3
astral,5,3,0,0,2,4,5,6
ataque,0,0,0,1,0,1,7,1
ate,25,4,0,23,59,31,10,18
atende,9,13,1,0,0,2,2,6
atender,19,8,1,0,0,1,0,3
atendeu,3,4,0,1,1,0,1,5
atenção,62,21,3,19,19,15,15,42
atira,3,0,0,4,0,1,1,1
atirar,3,2,0,3,0,3,0,2
atitude,7,5,0,0,0,1,0,3
ato,2,2,0,1,0,2,1,1
ator,3,1,0,0,2,2,0,4
atormenta,0,2,0,1,0,3,1,2
atrai,3,0,0,0,1,0,6,4
atrapalhado,4,1,0,0,4,1,0,2
atrapalhar,2,4,0,3,3,1,1,5
atras,10,1,0,0,1,5,1,2
atrasa,2,0,0,0,4,1,3,3
atravessa,4,0,0,0,1,1,1,3
atravessar,2,0,0,5,0,3,2,1
atração,3,1,0,0,2,2,2,5
atrevido,2,0,0,0,0,6,3,2
atriz,5,4,0,0,1,0,0,6
aumenta,29,12,1,2,6,6,8,29
aumentando,5,3,0,3,6,2,3,7
aumentar,9,3,0,2,1,3,2,7
aumente,6,1,0,0,0,0,1,5
aumentou,2,3,0,1,0,0,1,2
aurora,3,0,0,9,1,4,0,4
ausente,11,6,0,1,1,4,1,6
ausência,21,7,0,2,1,2,5,20
automóvel,1,0,0,4,2,1,1,3
av,1,1,0,4,4,2,3,3
ave,7,2,0,3,4,7,5,6
